身份证号码,出生日期,性别,年龄,出生地
150402198907257298,1989/7/25,男,35,内蒙古自治区 赤峰市 红山区
15252420110218647X,2011/2/18,男,13,内蒙古自治区 锡林郭勒盟 苏尼特右旗
210103199503080378,1995/3/8,男,29,辽宁省 沈阳市 沈河区
210402196904195359,1969/4/19,男,55,辽宁省 抚顺市 新抚区
210727198412288930,1984/12/28,男,39,辽宁省 锦州市 义县
210402197508280513,1975/8/28,男,49,辽宁省 抚顺市 新抚区
210421200307180077,2003/7/18,男,21,辽宁省 抚顺市 抚顺县
21132119851225419X,1985/12/25,男,38,辽宁省 朝阳市 朝阳县
211303196705269839,1967/5/26,男,57,辽宁省 朝阳市 龙城区
21078120241114289X,2024/11/14,男,0,辽宁省 锦州市 凌海市
210624197202037173,1972/2/3,男,52,辽宁省 丹东市 宽甸满族自治县
211381202012295935,2020/12/29,男,3,辽宁省 朝阳市 北票市
210682198308242536,1983/8/24,男,41,辽宁省 丹东市 凤城市
210124197909055992,1979/9/5,男,45,辽宁省 沈阳市 法库县
21140219590511385X,1959/5/11,男,65,辽宁省 葫芦岛市 连山区
211382199511251939,1995/11/25,男,29,辽宁省 朝阳市 凌源市
211003200202149870,2002/2/14,男,22,辽宁省 辽阳市 文圣区
210214201812199131,2018/12/19,男,5,辽宁省 大连市 普兰店区
21078119740628075X,1974/6/28,男,50,辽宁省 锦州市 凌海市
210283195005142379,1950/5/14,男,74,辽宁省 大连市 庄河市
210212201207161298,2012/7/16,男,12,辽宁省 大连市 旅顺口区
211303199901096211,1999/1/9,男,25,辽宁省 朝阳市 龙城区
210123195811112551,1958/11/11,男,66,辽宁省 沈阳市 康平县
21060220030118903X,2003/1/18,男,21,辽宁省 丹东市 元宝区
210105201211073857,2012/11/7,男,12,辽宁省 沈阳市 皇姑区
211224198402015730,1984/2/1,男,40,辽宁省 铁岭市 昌图县
211324197004219712,1970/4/21,男,54,辽宁省 朝阳市 喀喇沁左翼蒙古族自治县
211404200204172212,2002/4/17,男,22,辽宁省 葫芦岛市 南票区
210881197702061178,1977/2/6,男,47,辽宁省 营口市 盖州市
211321198810269875,1988/10/26,男,36,辽宁省 朝阳市 朝阳县
210522194809052810,1948/9/5,男,76,辽宁省 本溪市 桓仁满族自治县
21078219520822739X,1952/8/22,男,72,辽宁省 锦州市 北镇市
210304202109205533,2021/9/20,男,3,辽宁省 鞍山市 立山区
210106197804253412,1978/4/25,男,46,辽宁省 沈阳市 铁西区
21088219840522631X,1984/5/22,男,40,辽宁省 营口市 大石桥市
211302197909268879,1979/9/26,男,45,辽宁省 朝阳市 双塔区
21120420040106317X,2004/1/6,男,20,辽宁省 铁岭市 清河区
210321199907311674,1999/7/31,男,25,辽宁省 鞍山市 台安县
211402196610224792,1966/10/22,男,58,辽宁省 葫芦岛市 连山区
210902200603061919,2006/3/6,男,18,辽宁省 阜新市 海州区
211223201603016375,2016/3/1,男,8,辽宁省 铁岭市 西丰县
211302200205203596,2002/5/20,男,22,辽宁省 朝阳市 双塔区
210782198101229110,1981/1/22,男,43,辽宁省 锦州市 北镇市
210106202405156774,2024/5/15,男,0,辽宁省 沈阳市 铁西区
21030419600716981X,1960/7/16,男,64,辽宁省 鞍山市 立山区
210105195005212678,1950/5/21,男,74,辽宁省 沈阳市 皇姑区
210202200805304757,2008/5/30,男,16,辽宁省 大连市 中山区
210504196405031155,1964/5/3,男,60,辽宁省 本溪市 明山区
210502196701127618,1967/1/12,男,57,辽宁省 本溪市 平山区
211481197207252590,1972/7/25,男,52,辽宁省 葫芦岛市 兴城市
21050320040920567X,2004/9/20,男,20,辽宁省 本溪市 溪湖区
211381201811203836,2018/11/20,男,6,辽宁省 朝阳市 北票市
211403200207316676,2002/7/31,男,22,辽宁省 葫芦岛市 龙港区
211404199412140332,1994/12/14,男,30,辽宁省 葫芦岛市 南票区
21122119651221883X,1965/12/21,男,58,辽宁省 铁岭市 铁岭县
210181200412203576,2004/12/20,男,19,辽宁省 沈阳市 新民市
211102200711090212,2007/11/9,男,17,辽宁省 盘锦市 双台子区
211103194504170218,1945/4/17,男,79,辽宁省 盘锦市 兴隆台区
210423195112238071,1951/12/23,男,72,辽宁省 抚顺市 清原满族自治县
210602197707161737,1977/7/16,男,47,辽宁省 丹东市 元宝区
210602200109224376,2001/9/22,男,23,辽宁省 丹东市 元宝区
210921194511046675,1945/11/4,男,79,辽宁省 阜新市 阜新蒙古族自治县
210214197303252599,1973/3/25,男,51,辽宁省 大连市 普兰店区
211102201702180317,2017/2/18,男,7,辽宁省 盘锦市 双台子区
210681200309191631,2003/9/19,男,21,辽宁省 丹东市 东港市
21070220150815247X,2015/8/15,男,9,辽宁省 锦州市 古塔区
210904198210041936,1982/10/4,男,42,辽宁省 阜新市 太平区
210311195010097457,1950/10/9,男,74,辽宁省 鞍山市 千山区
21011219470605419X,1947/6/5,男,77,辽宁省 沈阳市 浑南区
210911200006275579,2000/6/27,男,24,辽宁省 阜新市 细河区
211324202207015318,2022/7/1,男,2,辽宁省 朝阳市 喀喇沁左翼蒙古族自治县
211303196509124632,1965/9/12,男,59,辽宁省 朝阳市 龙城区
211223196209115996,1962/9/11,男,62,辽宁省 铁岭市 西丰县
210905200801127797,2008/1/12,男,16,辽宁省 阜新市 清河门区
210106196106307511,1961/6/30,男,63,辽宁省 沈阳市 铁西区
210505199507014356,1995/7/1,男,29,辽宁省 本溪市 南芬区
210602202001220137,2020/1/22,男,4,辽宁省 丹东市 元宝区
210402197210282751,1972/10/28,男,52,辽宁省 抚顺市 新抚区
211103201701064070,2017/1/6,男,7,辽宁省 盘锦市 兴隆台区
211422195203251997,1952/3/25,男,72,辽宁省 葫芦岛市 建昌县
21132219790823981X,1979/8/23,男,45,辽宁省 朝阳市 建平县
210202202210075712,2022/10/7,男,2,辽宁省 大连市 中山区
210803198902197331,1989/2/19,男,35,辽宁省 营口市 西市区
21140419770714805X,1977/7/14,男,47,辽宁省 葫芦岛市 南票区
210682200609172172,2006/9/17,男,18,辽宁省 丹东市 凤城市
210224196109207039,1961/9/20,男,63,辽宁省 大连市 长海县
210921200705166913,2007/5/16,男,17,辽宁省 阜新市 阜新蒙古族自治县
210303202111290793,2021/11/29,男,3,辽宁省 鞍山市 铁西区
211381199201179250,1992/1/17,男,32,辽宁省 朝阳市 北票市
210402197101035073,1971/1/3,男,53,辽宁省 抚顺市 新抚区
211403197803094075,1978/3/9,男,46,辽宁省 葫芦岛市 龙港区
210903195807192796,1958/7/19,男,66,辽宁省 阜新市 新邱区
210682199402264373,1994/2/26,男,30,辽宁省 丹东市 凤城市
211404194905239258,1949/5/23,男,75,辽宁省 葫芦岛市 南票区
210503201512010517,2015/12/1,男,9,辽宁省 本溪市 溪湖区
210214198808309639,1988/8/30,男,36,辽宁省 大连市 普兰店区
21070319560318673X,1956/3/18,男,68,辽宁省 锦州市 凌河区
21030319611125089X,1961/11/25,男,63,辽宁省 鞍山市 铁西区
210103200311299178,2003/11/29,男,21,辽宁省 沈阳市 沈河区
210881200011272878,2000/11/27,男,24,辽宁省 营口市 盖州市
210502196406238817,1964/6/23,男,60,辽宁省 本溪市 平山区
210214199004030370,1990/4/3,男,34,辽宁省 大连市 普兰店区
310112195611256598,1956/11/25,男,68,上海市 上海市辖区 闵行区
310116198702115896,1987/2/11,男,37,上海市 上海市辖区 金山区
310105195405228330,1954/5/22,男,70,上海市 上海市辖区 长宁区
310115200104145511,2001/4/14,男,23,上海市 上海市辖区 浦东新区
31015120130218401X,2013/2/18,男,11,上海市 上海市辖区 崇明区
31010119630103141X,1963/1/3,男,61,上海市 上海市辖区 黄浦区
310113196307164470,1963/7/16,男,61,上海市 上海市辖区 宝山区
310118198403091639,1984/3/9,男,40,上海市 上海市辖区 青浦区
310105197509140295,1975/9/14,男,49,上海市 上海市辖区 长宁区
310112195503212758,1955/3/21,男,69,上海市 上海市辖区 闵行区
310105200309106070,2003/9/10,男,21,上海市 上海市辖区 长宁区
31010619610330217X,1961/3/30,男,63,上海市 上海市辖区 静安区
310109200211283314,2002/11/28,男,22,上海市 上海市辖区 虹口区
310114195711151331,1957/11/15,男,67,上海市 上海市辖区 嘉定区
310106201212137912,2012/12/13,男,12,上海市 上海市辖区 静安区
310104199002153735,1990/2/15,男,34,上海市 上海市辖区 徐汇区
310118196705014015,1967/5/1,男,57,上海市 上海市辖区 青浦区
310104196704030779,1967/4/3,男,57,上海市 上海市辖区 徐汇区
31010619801002013X,1980/10/2,男,44,上海市 上海市辖区 静安区
310113201101258037,2011/1/25,男,13,上海市 上海市辖区 宝山区
310113197809149339,1978/9/14,男,46,上海市 上海市辖区 宝山区
310112201607109390,2016/7/10,男,8,上海市 上海市辖区 闵行区
31011519840625203X,1984/6/25,男,40,上海市 上海市辖区 浦东新区
310101197612069452,1976/12/6,男,48,上海市 上海市辖区 黄浦区
310101202010133297,2020/10/13,男,4,上海市 上海市辖区 黄浦区
310118202108060433,2021/8/6,男,3,上海市 上海市辖区 青浦区
310151199209125015,1992/9/12,男,32,上海市 上海市辖区 崇明区
310106197409175278,1974/9/17,男,50,上海市 上海市辖区 静安区
310104198906185196,1989/6/18,男,35,上海市 上海市辖区 徐汇区
310151201509210617,2015/9/21,男,9,上海市 上海市辖区 崇明区
310110197711224899,1977/11/22,男,47,上海市 上海市辖区 杨浦区
310115199308184517,1993/8/18,男,31,上海市 上海市辖区 浦东新区
31011219930813801X,1993/8/13,男,31,上海市 上海市辖区 闵行区
310104201911075578,2019/11/7,男,5,上海市 上海市辖区 徐汇区
310117201606260031,2016/6/26,男,8,上海市 上海市辖区 松江区
310110197411088514,1974/11/8,男,50,上海市 上海市辖区 杨浦区
310104197908192256,1979/8/19,男,45,上海市 上海市辖区 徐汇区
310104196101045779,1961/1/4,男,63,上海市 上海市辖区 徐汇区
310120200607284258,2006/7/28,男,18,上海市 上海市辖区 奉贤区
310113200405065790,2004/5/6,男,20,上海市 上海市辖区 宝山区
310109195009245257,1950/9/24,男,74,上海市 上海市辖区 虹口区
310117200110245511,2001/10/24,男,23,上海市 上海市辖区 松江区
310117194501254775,1945/1/25,男,79,上海市 上海市辖区 松江区
310120194907224013,1949/7/22,男,75,上海市 上海市辖区 奉贤区
31011619930815009X,1993/8/15,男,31,上海市 上海市辖区 金山区
310120200805222533,2008/5/22,男,16,上海市 上海市辖区 奉贤区
310115199308241956,1993/8/24,男,31,上海市 上海市辖区 浦东新区
310104201408104159,2014/8/10,男,10,上海市 上海市辖区 徐汇区
310117201004066792,2010/4/6,男,14,上海市 上海市辖区 松江区
310151199712190498,1997/12/19,男,26,上海市 上海市辖区 崇明区
310115196109305554,1961/9/30,男,63,上海市 上海市辖区 浦东新区
310106197806101096,1978/6/10,男,46,上海市 上海市辖区 静安区
310110200106273152,2001/6/27,男,23,上海市 上海市辖区 杨浦区
310118197306037038,1973/6/3,男,51,上海市 上海市辖区 青浦区
310151195703300378,1957/3/30,男,67,上海市 上海市辖区 崇明区
31011620240922649X,2024/9/22,男,0,上海市 上海市辖区 金山区
310105201001129473,2010/1/12,男,14,上海市 上海市辖区 长宁区
31010920101201233X,2010/12/1,男,14,上海市 上海市辖区 虹口区
310110197212262890,1972/12/26,男,51,上海市 上海市辖区 杨浦区
310109199106290330,1991/6/29,男,33,上海市 上海市辖区 虹口区
310109196110220913,1961/10/22,男,63,上海市 上海市辖区 虹口区
310112197312178074,1973/12/17,男,51,上海市 上海市辖区 闵行区
310120198509209633,1985/9/20,男,39,上海市 上海市辖区 奉贤区
310116201708285057,2017/8/28,男,7,上海市 上海市辖区 金山区
31010519980719811X,1998/7/19,男,26,上海市 上海市辖区 长宁区
310118195201040418,1952/1/4,男,72,上海市 上海市辖区 青浦区
310104199605061514,1996/5/6,男,28,上海市 上海市辖区 徐汇区
310114197008165677,1970/8/16,男,54,上海市 上海市辖区 嘉定区
310118202209029910,2022/9/2,男,2,上海市 上海市辖区 青浦区
310115198503270256,1985/3/27,男,39,上海市 上海市辖区 浦东新区
310107199510064033,1995/10/6,男,29,上海市 上海市辖区 普陀区
310112197103052432,1971/3/5,男,53,上海市 上海市辖区 闵行区
310106194912197112,1949/12/19,男,74,上海市 上海市辖区 静安区
310112195807187918,1958/7/18,男,66,上海市 上海市辖区 闵行区
310104196209010797,1962/9/1,男,62,上海市 上海市辖区 徐汇区
310110194811094231,1948/11/9,男,76,上海市 上海市辖区 杨浦区
31010519480502085X,1948/5/2,男,76,上海市 上海市辖区 长宁区
310120202409113756,2024/9/11,男,0,上海市 上海市辖区 奉贤区
310120200706096535,2007/6/9,男,17,上海市 上海市辖区 奉贤区
310109195209120416,1952/9/12,男,72,上海市 上海市辖区 虹口区
310112194509302514,1945/9/30,男,79,上海市 上海市辖区 闵行区
310101201804149958,2018/4/14,男,6,上海市 上海市辖区 黄浦区
310107201304110430,2013/4/11,男,11,上海市 上海市辖区 普陀区
310109201611027955,2016/11/2,男,8,上海市 上海市辖区 虹口区
310107198511281019,1985/11/28,男,39,上海市 上海市辖区 普陀区
310110194701132698,1947/1/13,男,77,上海市 上海市辖区 杨浦区
310106197206239593,1972/6/23,男,52,上海市 上海市辖区 静安区
31011720070116617X,2007/1/16,男,17,上海市 上海市辖区 松江区
310105196705021977,1967/5/2,男,57,上海市 上海市辖区 长宁区
310105194602196599,1946/2/19,男,78,上海市 上海市辖区 长宁区
310151194701149075,1947/1/14,男,77,上海市 上海市辖区 崇明区
310110199907181631,1999/7/18,男,25,上海市 上海市辖区 杨浦区
310116201101148371,2011/1/14,男,13,上海市 上海市辖区 金山区
310105194702207195,1947/2/20,男,77,上海市 上海市辖区 长宁区
31010920101222253X,2010/12/22,男,13,上海市 上海市辖区 虹口区
310115194907256196,1949/7/25,男,75,上海市 上海市辖区 浦东新区
310106196506116291,1965/6/11,男,59,上海市 上海市辖区 静安区
310112198111035776,1981/11/3,男,43,上海市 上海市辖区 闵行区
310104199504136417,1995/4/13,男,29,上海市 上海市辖区 徐汇区
310117197308081896,1973/8/8,男,51,上海市 上海市辖区 松江区
320803200508099616,2005/8/9,男,19,江苏省 淮安市 淮安区
320724195804227291,1958/4/22,男,66,江苏省 连云港市 灌南县
32118319620531875X,1962/5/31,男,62,江苏省 镇江市 句容市
32082619751212225X,1975/12/12,男,49,江苏省 淮安市 涟水县
320481201903054612,2019/3/5,男,5,江苏省 常州市 溧阳市
320981201904251877,2019/4/25,男,5,江苏省 盐城市 东台市
321081198710109810,1987/10/10,男,37,江苏省 扬州市 仪征市
320722194909099954,1949/9/9,男,75,江苏省 连云港市 东海县
320826198907294237,1989/7/29,男,35,江苏省 淮安市 涟水县
320682195010083255,1950/10/8,男,74,江苏省 南通市 如皋市
320981201409118956,2014/9/11,男,10,江苏省 盐城市 东台市
320509194706220097,1947/6/22,男,77,江苏省 苏州市 吴江区
32092419640924111X,1964/9/24,男,60,江苏省 盐城市 射阳县
320481195005170672,1950/5/17,男,74,江苏省 常州市 溧阳市
320585201004229213,2010/4/22,男,14,江苏省 苏州市 太仓市
321023200611051250,2006/11/5,男,18,江苏省 扬州市 宝应县
321112197502222972,1975/2/22,男,49,江苏省 镇江市 丹徒区
320114196411153454,1964/11/15,男,60,江苏省 南京市 雨花台区
320302197806031259,1978/6/3,男,46,江苏省 徐州市 鼓楼区
320803197804047138,1978/4/4,男,46,江苏省 淮安市 淮安区
321181202105210958,2021/5/21,男,3,江苏省 镇江市 丹阳市
321324199703155310,1997/3/15,男,27,江苏省 宿迁市 泗洪县
320305196404210814,1964/4/21,男,60,江苏省 徐州市 贾汪区
320804202412160297,2024/12/16,男,0,江苏省 淮安市 淮阴区
320412196908188373,1969/8/18,男,55,江苏省 常州市 武进区
321311202001219730,2020/1/21,男,4,江苏省 宿迁市 宿豫区
320582202109067113,2021/9/6,男,3,江苏省 苏州市 张家港市
321081194711026154,1947/11/2,男,77,江苏省 扬州市 仪征市
320114199503150238,1995/3/15,男,29,江苏省 南京市 雨花台区
321324201510306039,2015/10/30,男,9,江苏省 宿迁市 泗洪县
320509201809167113,2018/9/16,男,6,江苏省 苏州市 吴江区
32070719601028089X,1960/10/28,男,64,江苏省 连云港市 赣榆区
320581195703252435,1957/3/25,男,67,江苏省 苏州市 常熟市
320703196907196013,1969/7/19,男,55,江苏省 连云港市 连云区
320830194708047758,1947/8/4,男,77,江苏省 淮安市 盱眙县
321088200601149172,2006/1/14,男,18,江苏省 扬州市 江都市
320923201403186014,2014/3/18,男,10,江苏省 盐城市 阜宁县
320902201512226538,2015/12/22,男,8,江苏省 盐城市 亭湖区
32030219511227517X,1951/12/27,男,72,江苏省 徐州市 鼓楼区
320382194503225951,1945/3/22,男,79,江苏省 徐州市 邳州市
32132320001025899X,2000/10/25,男,24,江苏省 宿迁市 泗阳县
320506195905221135,1959/5/22,男,65,江苏省 苏州市 吴中区
320921195802112257,1958/2/11,男,66,江苏省 盐城市 响水县
320305195710080777,1957/10/8,男,67,江苏省 徐州市 贾汪区
320903201303101911,2013/3/10,男,11,江苏省 盐城市 盐都区
320281199907311873,1999/7/31,男,25,江苏省 无锡市 江阴市
32070719541007867X,1954/10/7,男,70,江苏省 连云港市 赣榆区
320302196506024255,1965/6/2,男,59,江苏省 徐州市 鼓楼区
320723195206069231,1952/6/6,男,72,江苏省 连云港市 灌云县
321281198403089355,1984/3/8,男,40,江苏省 泰州市 兴化市
320612196505117117,1965/5/11,男,59,江苏省 南通市 通州区
32011419651209983X,1965/12/9,男,59,江苏省 南京市 雨花台区
320116197007227578,1970/7/22,男,54,江苏省 南京市 六合区
320813200407147212,2004/7/14,男,20,江苏省 淮安市 洪泽区
320703201804132598,2018/4/13,男,6,江苏省 连云港市 连云区
320903196608199119,1966/8/19,男,58,江苏省 盐城市 盐都区
321023202312099579,2023/12/9,男,1,江苏省 扬州市 宝应县
320830195412095130,1954/12/9,男,70,江苏省 淮安市 盱眙县
320102200605020733,2006/5/2,男,18,江苏省 南京市 玄武区
321088195701030431,1957/1/3,男,67,江苏省 扬州市 江都市
320581198601089693,1986/1/8,男,38,江苏省 苏州市 常熟市
320114200504192355,2005/4/19,男,19,江苏省 南京市 雨花台区
320684196801159559,1968/1/15,男,56,江苏省 南通市 海门市
320611198808208297,1988/8/20,男,36,江苏省 南通市 港闸区
321202198212278879,1982/12/27,男,41,江苏省 泰州市 海陵区
320830197701285618,1977/1/28,男,47,江苏省 淮安市 盱眙县
320105197003022138,1970/3/2,男,54,江苏省 南京市 建邺区
320722198011017033,1980/11/1,男,44,江苏省 连云港市 东海县
320115201306193374,2013/6/19,男,11,江苏省 南京市 江宁区
320812198905156756,1989/5/15,男,35,江苏省 淮安市 清江浦区
321102195810235650,1958/10/23,男,66,江苏省 镇江市 京口区
320211201502210813,2015/2/21,男,9,江苏省 无锡市 滨湖区
320302201206039512,2012/6/3,男,12,江苏省 徐州市 鼓楼区
320804197602054950,1976/2/5,男,48,江苏省 淮安市 淮阴区
320303199003256070,1990/3/25,男,34,江苏省 徐州市 云龙区
320302196408046119,1964/8/4,男,60,江苏省 徐州市 鼓楼区
320831200109141034,2001/9/14,男,23,江苏省 淮安市 金湖县
320118199510109036,1995/10/10,男,29,江苏省 南京市 高淳区
321003200106153357,2001/6/15,男,23,江苏省 扬州市 邗江区
32050819810726943X,1981/7/26,男,43,江苏省 苏州市 姑苏区
320831194909289610,1949/9/28,男,75,江苏省 淮安市 金湖县
320581201210300273,2012/10/30,男,12,江苏省 苏州市 常熟市
320602194808276113,1948/8/27,男,76,江苏省 南通市 崇川区
320722199008025838,1990/8/2,男,34,江苏省 连云港市 东海县
320505200308306453,2003/8/30,男,21,江苏省 苏州市 虎丘区
32061219470120995X,1947/1/20,男,77,江苏省 南通市 通州区
320214201204280257,2012/4/28,男,12,江苏省 无锡市 新吴区
320505195509253454,1955/9/25,男,69,江苏省 苏州市 虎丘区
321202200012223734,2000/12/22,男,23,江苏省 泰州市 海陵区
320612197509215536,1975/9/21,男,49,江苏省 南通市 通州区
321181198506147516,1985/6/14,男,39,江苏省 镇江市 丹阳市
320925201501175434,2015/1/17,男,9,江苏省 盐城市 建湖县
321311196107184013,1961/7/18,男,63,江苏省 宿迁市 宿豫区
320114195612074395,1956/12/7,男,68,江苏省 南京市 雨花台区
32041219620303573X,1962/3/3,男,62,江苏省 常州市 武进区
321283195712125179,1957/12/12,男,67,江苏省 泰州市 泰兴市
320902201508017370,2015/8/1,男,9,江苏省 盐城市 亭湖区
320581202010034534,2020/10/3,男,4,江苏省 苏州市 常熟市
321283198601037575,1986/1/3,男,38,江苏省 泰州市 泰兴市
321181200212108116,2002/12/10,男,22,江苏省 镇江市 丹阳市
431027198111244639,1981/11/24,男,43,湖南省 郴州市 桂东县
43081119760714425X,1976/7/14,男,48,湖南省 张家界市 武陵源区
430422201211133534,2012/11/13,男,12,湖南省 衡阳市 衡南县
431226197002082693,1970/2/8,男,54,湖南省 怀化市 麻阳苗族自治县
431223201104168252,2011/4/16,男,13,湖南省 怀化市 辰溪县
430502196306082131,1963/6/8,男,61,湖南省 邵阳市 双清区
433125199208167499,1992/8/16,男,32,湖南省 湘西土家族苗族自治州 保靖县
433127195504039998,1955/4/3,男,69,湖南省 湘西土家族苗族自治州 永顺县
430181200505041159,2005/5/4,男,19,湖南省 长沙市 浏阳市
430603196503189896,1965/3/18,男,59,湖南省 岳阳市 云溪区
430321198711079312,1987/11/7,男,37,湖南省 湘潭市 湘潭县
431226196303166853,1963/3/16,男,61,湖南省 怀化市 麻阳苗族自治县
433123200101307677,2001/1/30,男,23,湖南省 湘西土家族苗族自治州 凤凰县
431382195602189854,1956/2/18,男,68,湖南省 娄底市 涟源市
431223199607013236,1996/7/1,男,28,湖南省 怀化市 辰溪县
430381200106152813,2001/6/15,男,23,湖南省 湘潭市 湘乡市
430212201704164191,2017/4/16,男,7,湖南省 株洲市 渌口区
43018119930416857X,1993/4/16,男,31,湖南省 长沙市 浏阳市
431302198912163731,1989/12/16,男,35,湖南省 娄底市 娄星区
430582198011271155,1980/11/27,男,44,湖南省 邵阳市 邵东市
430922194810273293,1948/10/27,男,76,湖南省 益阳市 桃江县
430822196406241314,1964/6/24,男,60,湖南省 张家界市 桑植县
431103201811302595,2018/11/30,男,6,湖南省 永州市 冷水滩区
43102520110608103X,2011/6/8,男,13,湖南省 郴州市 临武县
43020319520303591X,1952/3/3,男,72,湖南省 株洲市 芦淞区
430103198401222175,1984/1/22,男,40,湖南省 长沙市 天心区
430821196003256312,1960/3/25,男,64,湖南省 张家界市 慈利县
431081197605185230,1976/5/18,男,48,湖南省 郴州市 资兴市
431221202103125412,2021/3/12,男,3,湖南省 怀化市 中方县
433122196406100516,1964/6/10,男,60,湖南省 湘西土家族苗族自治州 泸溪县
431228198001259634,1980/1/25,男,44,湖南省 怀化市 芷江侗族自治县
433123200803084017,2008/3/8,男,16,湖南省 湘西土家族苗族自治州 凤凰县
430223201401098210,2014/1/9,男,10,湖南省 株洲市 攸县
43078119840914955X,1984/9/14,男,40,湖南省 常德市 津市市
431128197804114594,1978/4/11,男,46,湖南省 永州市 新田县
431321201607148651,2016/7/14,男,8,湖南省 娄底市 双峰县
431081199909117279,1999/9/11,男,25,湖南省 郴州市 资兴市
430722198005029439,1980/5/2,男,44,湖南省 常德市 汉寿县
430405201911278893,2019/11/27,男,5,湖南省 衡阳市 珠晖区
431126201901218316,2019/1/21,男,5,湖南省 永州市 宁远县
430523196705229593,1967/5/22,男,57,湖南省 邵阳市 邵阳县
430408201101065115,2011/1/6,男,13,湖南省 衡阳市 蒸湘区
430224196003142530,1960/3/14,男,64,湖南省 株洲市 茶陵县
433130198503153934,1985/3/15,男,39,湖南省 湘西土家族苗族自治州 龙山县
430481202211150136,2022/11/15,男,2,湖南省 衡阳市 耒阳市
430412197510026454,1975/10/2,男,49,湖南省 衡阳市 南岳区
430407200306207112,2003/6/20,男,21,湖南省 衡阳市 石鼓区
430602198805308494,1988/5/30,男,36,湖南省 岳阳市 岳阳楼区
430922196901257933,1969/1/25,男,55,湖南省 益阳市 桃江县
430412196204223535,1962/4/22,男,62,湖南省 衡阳市 南岳区
430281196709301238,1967/9/30,男,57,湖南省 株洲市 醴陵市
431102202304039436,2023/4/3,男,1,湖南省 永州市 零陵区
430923196409162218,1964/9/16,男,60,湖南省 益阳市 安化县
430682197907165858,1979/7/16,男,45,湖南省 岳阳市 临湘市
430811198503202552,1985/3/20,男,39,湖南省 张家界市 武陵源区
430302198403243679,1984/3/24,男,40,湖南省 湘潭市 雨湖区
430482196005033893,1960/5/3,男,64,湖南省 衡阳市 常宁市
430682196802134292,1968/2/13,男,56,湖南省 岳阳市 临湘市
430781197706268833,1977/6/26,男,47,湖南省 常德市 津市市
430182202412090731,2024/12/9,男,0,湖南省 长沙市 宁乡市
431227198711266736,1987/11/26,男,37,湖南省 怀化市 新晃侗族自治县
431127196310315133,1963/10/31,男,61,湖南省 永州市 蓝山县
431224198912184156,1989/12/18,男,34,湖南省 怀化市 溆浦县
43042620080410289X,2008/4/10,男,16,湖南省 衡阳市 祁东县
431281197102011635,1971/2/1,男,53,湖南省 怀化市 洪江市
430105201510293113,2015/10/29,男,9,湖南省 长沙市 开福区
43122419920120643X,1992/1/20,男,32,湖南省 怀化市 溆浦县
430524201206298017,2012/6/29,男,12,湖南省 邵阳市 隆回县
430424200111136699,2001/11/13,男,23,湖南省 衡阳市 衡东县
431103195108085738,1951/8/8,男,73,湖南省 永州市 冷水滩区
431202198011189015,1980/11/18,男,44,湖南省 怀化市 鹤城区
431025201205202538,2012/5/20,男,12,湖南省 郴州市 临武县
430406201912256916,2019/12/25,男,4,湖南省 衡阳市 雁峰区
430523197407244431,1974/7/24,男,50,湖南省 邵阳市 邵阳县
431382197804018294,1978/4/1,男,46,湖南省 娄底市 涟源市
431227198403170898,1984/3/17,男,40,湖南省 怀化市 新晃侗族自治县
430304201707185794,2017/7/18,男,7,湖南省 湘潭市 岳塘区
430482195405159335,1954/5/15,男,70,湖南省 衡阳市 常宁市
431225199209168032,1992/9/16,男,32,湖南省 怀化市 会同县
430211198807182797,1988/7/18,男,36,湖南省 株洲市 天元区
430528198610300378,1986/10/30,男,38,湖南省 邵阳市 新宁县
43092319950627731X,1995/6/27,男,29,湖南省 益阳市 安化县
430682200610069990,2006/10/6,男,18,湖南省 岳阳市 临湘市
431081199603099557,1996/3/9,男,28,湖南省 郴州市 资兴市
433125200711277738,2007/11/27,男,17,湖南省 湘西土家族苗族自治州 保靖县
430529199802076375,1998/2/7,男,26,湖南省 邵阳市 城步苗族自治县
430721197901197851,1979/1/19,男,45,湖南省 常德市 安乡县
430408201911155278,2019/11/15,男,5,湖南省 衡阳市 蒸湘区
433130198308262350,1983/8/26,男,41,湖南省 湘西土家族苗族自治州 龙山县
433123194808051312,1948/8/5,男,76,湖南省 湘西土家族苗族自治州 凤凰县
430611201009226456,2010/9/22,男,14,湖南省 岳阳市 君山区
430304202202209599,2022/2/20,男,2,湖南省 湘潭市 岳塘区
430426199407088013,1994/7/8,男,30,湖南省 衡阳市 祁东县
430121199311249734,1993/11/24,男,31,湖南省 长沙市 长沙县
430527196312246099,1963/12/24,男,60,湖南省 邵阳市 绥宁县
430502197911154214,1979/11/15,男,45,湖南省 邵阳市 双清区
431230197701194015,1977/1/19,男,47,湖南省 怀化市 通道侗族自治县
513231197301015733,1973/1/1,男,51,四川省 阿坝藏族羌族自治州 阿坝县
51172419540403661X,1954/4/3,男,70,四川省 达州市 大竹县
513437200601046770,2006/1/4,男,18,四川省 凉山彝族自治州 雷波县
511921198508268832,1985/8/26,男,39,四川省 巴中市 通江县
51132519911224695X,1991/12/24,男,32,四川省 南充市 西充县
511425199301210011,1993/1/21,男,31,四川省 眉山市 青神县
510183201704301010,2017/4/30,男,7,四川省 成都市 邛崃市
